시설물 구분,시설물명,소재지 주소,행정동,데이터기준일자
장애인용 승강기,마로니에아파트,서울 서초구 양재동 352-7,양재2동,2025-09-18
장애인용 승강기,마샹스2차,서울 서초구 서초동 1487-144,서초3동,2025-09-18
장애인용 승강기,마샹스아파트,서울 서초구 서초동 1466-3,서초3동,2025-09-18
장애인용 승강기,마이플레이스 양재,서울 서초구 양재동 385-8,양재2동,2025-09-18
장애인용 승강기,마제스타시티타워1,서울 서초구 서초동 1498-5,서초3동,2025-09-18
장애인용 승강기,마제스타시티타워2,서울 서초구 서초동 1498-5,서초3동,2025-09-18
장애인용 승강기,매크로매트릭스빌딩,서울 서초구 방배동 769-4,방배본동,2025-09-18
장애인용 승강기,매헌기념관,서울 서초구 양재동 236,양재2동,2025-09-18
장애인용 승강기,매헌초등학교,서울 서초구 양재동 311-1,양재2동,2025-09-18
장애인용 승강기,멀버리힐스,서울 서초구 잠원동 27-2,잠원동,2025-09-18
장애인용 승강기,메라크,서울 서초구 방배동 12-31,방배본동,2025-09-18
장애인용 승강기,메이플라워아파트,서울 서초구 잠원동 65-1,잠원동,2025-09-18
장애인용 승강기,멤버스뷰오피스텔,서울 서초구 방배동 477-1,방배3동,2025-09-18
장애인용 승강기,명광빌딩,서울 서초구 서초동 1702-10,서초3동,2025-09-18
장애인용 승강기,명달포레스트,서울 서초구 서초동 1507-20,서초3동,2025-09-18
장애인용 승강기,명성팰리스,서울 서초구 방배동 916-32,방배1동,2025-09-18
장애인용 승강기,모차르트빌딩,서울 서초구 서초동 1515-3,서초3동,2025-09-18
장애인용 승강기,목양침례교회,서울 서초구 내곡동 366,내곡동,2025-09-18
장애인용 승강기,미래소프트빌딩,서울 서초구 서초동 1428-3,서초1동,2025-09-18
장애인용 승강기,미영아파트101동,서울 서초구 양재동 6-29,양재1동,2025-09-18
장애인용 승강기,미영아파트102동,서울 서초구 양재동 6-29,양재1동,2025-09-18
장애인용 승강기,미주파스텔,서울 서초구 잠원동 54,잠원동,2025-09-18
장애인용 승강기,민예빌딩,서울 서초구 염곡동 216-1,내곡동,2025-09-18
장애인용 승강기,바우뫼복지문화회관,서울 서초구 우면동 68-1,양재1동,2025-09-18
장애인용 승강기,반도빌딩,서울 서초구 반포동 48-1,반포4동,2025-09-18
장애인용 승강기,반포 르엘 2차 아파트,서울 서초구 잠원동 164,반포3동,2025-09-18
장애인용 승강기,반포1동성당,서울 서초구 반포동 742-22,반포1동,2025-09-18
장애인용 승강기,반포1동주민센터,서울 서초구 반포동 20-48,반포1동,2025-09-18
장애인용 승강기,반포2차아펠바움,서울 서초구 반포동 612-2,반포4동,2025-09-18
장애인용 승강기,반포4동주민센터,서울 서초구 반포동 74-7,반포4동,2025-09-18
장애인용 승강기,반포SKVIEW,서울 서초구 반포동 112-15,반포4동,2025-09-18
장애인용 승강기,반포고등학교,서울 서초구 반포동 30-19,반포1동,2025-09-18
장애인용 승강기,반포골프백화점,서울 서초구 반포동 107-3,반포4동,2025-09-18
장애인용 승강기,반포대우멤버스카운티,서울 서초구 반포동 111-11,반포4동,2025-09-18
장애인용 승강기,반포동 551-11,서울 서초구 반포동 551-11,반포4동,2025-09-18
장애인용 승강기,반포동 735-23,서울 서초구 반포동 735-23,반포1동,2025-09-18
장애인용 승강기,반포동 오벨리스크,서울 서초구 반포동 550-4,반포4동,2025-09-18
장애인용 승강기,반포동720-15,서울 서초구 반포동 720-15,반포1동,2025-09-18
장애인용 승강기,반포동SK아펠바움,서울 서초구 방배동 1-15,방배본동,2025-09-18
장애인용 승강기,반포래디앙 시그니처,서울 서초구 방배동 751-4,방배본동,2025-09-18
장애인용 승강기,반포래미안아이파크,서울 서초구 반포동 1341,반포1동,2025-09-18
장애인용 승강기,반포르엘,서울 서초구 잠원동 163,반포3동,2025-09-18
장애인용 승강기,반포리더스빌,서울 서초구 반포동 85-1,반포4동,2025-09-18
장애인용 승강기,반포리체아파트,서울 서초구 반포동 30-26,반포1동,2025-09-18
장애인용 승강기,반포메딕스빌딩,서울 서초구 반포동 32-1,반포1동,2025-09-18
장애인용 승강기,반포반곡빌딩,서울 서초구 반포동 53-4,반포4동,2025-09-18
장애인용 승강기,반포브리앙뜨,서울 서초구 반포동 101-10,반포4동,2025-09-18
장애인용 승강기,반포빌딩,서울 서초구 반포동 724-11,반포1동,2025-09-18
장애인용 승강기,반포상지리츠빌2차,서울 서초구 반포동 99-3,반포4동,2025-09-18
장애인용 승강기,반포서래빌,서울 서초구 반포동 87-7,반포4동,2025-09-18
장애인용 승강기,반포세무서,서울 서초구 방배동 874-4,방배4동,2025-09-18
장애인용 승강기,반포센트럴자이,서울 서초구 잠원동 162,반포3동,2025-09-18
장애인용 승강기,반포센트럴푸르지오써밋,서울 서초구 반포동 1342,반포1동,2025-09-18
장애인용 승강기,반포센트레빌아스테리움,서울 서초구 반포동 1344,반포1동,2025-09-18
장애인용 승강기,반포스테이 리버뷰,서울 서초구 방배동 750-10,방배본동,2025-09-18
장애인용 승강기,반포쌍동빌딩(서관),서울 서초구 반포동 54-1,반포4동,2025-09-18
장애인용 승강기,반포아르테,서울 서초구 방배동 738,방배본동,2025-09-18
장애인용 승강기,반포윌턴빌,서울 서초구 반포동 103-1,반포4동,2025-09-18
장애인용 승강기,반포자이,서울 서초구 반포동 20-43,반포1동,2025-09-18
장애인용 승강기,반포자이프라자,서울 서초구 반포동 20-45,반포1동,2025-09-18
장애인용 승강기,반포청호빌딩,서울 서초구 반포동 748-1,반포1동,2025-09-18
장애인용 승강기,반포펠리스아파트,서울 서초구 잠원동 158,잠원동,2025-09-18
장애인용 승강기,반포푸르지오아파트,서울 서초구 반포동 10,반포2동,2025-09-18
장애인용 승강기,반포프라자,서울 서초구 반포동 1313,반포본동,2025-09-18
장애인용 승강기,반포프레스턴클래식,서울 서초구 반포동 612-49,반포4동,2025-09-18
장애인용 승강기,반포현대빌라트(C동),서울 서초구 반포동 77-1,반포4동,2025-09-18
장애인용 승강기,반포효성빌딩,서울 서초구 반포동 63-7,반포4동,2025-09-18
장애인용 승강기,반포훼미리104동,서울 서초구 반포동 702-1,반포1동,2025-09-18
장애인용 승강기,반포훼밀리아파트(101동),서울 서초구 반포동 713-1,반포1동,2025-09-18
장애인용 승강기,반포훼밀리아파트102동,서울 서초구 반포동 713-1,반포1동,2025-09-18
장애인용 승강기,반포힐스테이트,서울 서초구 반포동 16-6,반포2동,2025-09-18
장애인용 승강기,방배 헬랜힐,서울 서초구 방배동 921-20,방배1동,2025-09-18
장애인용 승강기,방배1동초록꿈어린이집,서울 서초구 방배동 916-7,방배1동,2025-09-18
장애인용 승강기,방배1차현대아파트,서울 서초구 방배동 1344,방배4동,2025-09-18
장애인용 승강기,방배2동주민센터,서울 서초구 방배동 462-13,방배2동,2025-09-18
장애인용 승강기,방배2차-e편한세상아파트,서울 서초구 방배동 881-26,방배4동,2025-09-18
장애인용 승강기,방배2차현대홈타운,서울 서초구 방배동 2001,방배4동,2025-09-18
장애인용 승강기,방배3동주민센터,서울 서초구 방배동 1023-3,방배3동,2025-09-18
장애인용 승강기,방배3차e-편한세상,서울 서초구 방배동 797-30,방배본동,2025-09-18
장애인용 승강기,방배3차현대홈타운,서울 서초구 방배동 2233,방배본동,2025-09-18
장애인용 승강기,방배4동성당,서울 서초구 방배동 807-7,방배4동,2025-09-18
장애인용 승강기,방배CJ나인빌리지,서울 서초구 방배동 889-5,방배1동,2025-09-18
장애인용 승강기,방배I-PARK,서울 서초구 방배동 3277,방배본동,2025-09-18
장애인용 승강기,방배SH-VILLE,서울 서초구 방배동 2626-3,방배2동,2025-09-18
장애인용 승강기,방배SK리더스뷰아파트,서울 서초구 방배동 444-3,방배2동,2025-09-18
장애인용 승강기,방배SK아펠바움,서울 서초구 방배동 1-15,방배본동,2025-09-18
장애인용 승강기,방배e편한세상1차아파트,서울 서초구 방배동 884-21,방배1동,2025-09-18
장애인용 승강기,방배갤러리,서울 서초구 방배동 806-3,방배4동,2025-09-18
장애인용 승강기,방배그랑자이(서울),서울 서초구 방배동 3283,방배3동,2025-09-18
장애인용 승강기,방배노블루체서리풀오피스텔,서울 서초구 방배동 426-1,방배2동,2025-09-18
장애인용 승강기,방배노인종합복지관,서울 서초구 방배동 455-11,방배2동,2025-09-18
장애인용 승강기,방배느티나무 쉼터,서울 서초구 방배동 478-13,방배3동,2025-09-18
장애인용 승강기,방배동 M빌딩,서울 서초구 방배동 753-2,방배본동,2025-09-18
장애인용 승강기,방배동 센트레빌,서울 서초구 방배동 777-12,방배본동,2025-09-18
장애인용 승강기,방배동895-6,서울 서초구 방배동 895-6,방배1동,2025-09-18
장애인용 승강기,방배동926-17,서울 서초구 방배동 926-17,방배1동,2025-09-18
장애인용 승강기,방배동나노빌딩,서울 서초구 방배동 489-4,방배3동,2025-09-18
장애인용 승강기,방배동대우디오빌,서울 서초구 방배동 866-20,방배4동,2025-09-18
장애인용 승강기,방배동롯데캐슬헤론,서울 서초구 방배동 754-1,방배본동,2025-09-18
장애인용 승강기,방배동멤버스카운티(501동),서울 서초구 방배동 801-1,방배4동,2025-09-18
장애인용 승강기,방배동멤버스카운티(502동),서울 서초구 방배동 801-1,방배4동,2025-09-18
장애인용 승강기,방배동부센트레빌,서울 서초구 방배동 3275,방배본동,2025-09-18
장애인용 승강기,방배동상지리츠빌3차,서울 서초구 방배동 843-15,방배4동,2025-09-18
장애인용 승강기,방배동상지리츠빌4차,서울 서초구 방배동 843-13,방배4동,2025-09-18
장애인용 승강기,방배동상지리츠빌7차,서울 서초구 방배동 840-12,방배4동,2025-09-18
장애인용 승강기,방배동우성타운,서울 서초구 방배동 445-4,방배2동,2025-09-18
장애인용 승강기,방배동현대쉴러하우스,서울 서초구 방배동 853-19,방배4동,2025-09-18
장애인용 승강기,방배래미안아파트,서울 서초구 방배동 2626,방배2동,2025-09-18
장애인용 승강기,방배래미안타워,서울 서초구 방배동 485-3,방배3동,2025-09-18
장애인용 승강기,방배렉슬,서울 서초구 방배동 805-9,방배4동,2025-09-18
장애인용 승강기,방배롯데캐슬로제,서울 서초구 방배동 849-30,방배4동,2025-09-18
장애인용 승강기,방배롯데캐슬아르떼,서울 서초구 방배동 424-28,방배2동,2025-09-18
장애인용 승강기,방배롯데캐슬포레스트,서울 서초구 방배동 844-27,방배4동,2025-09-18
장애인용 승강기,방배리첸시아,서울 서초구 방배동 755-14,방배본동,2025-09-18
장애인용 승강기,방배리치빌,서울 서초구 방배동 474-9,방배2동,2025-09-18
장애인용 승강기,방배마에스트로1동,서울 서초구 방배동 866-10,방배4동,2025-09-18
장애인용 승강기,방배멤피스현대아파트,서울 서초구 방배동 774-19,방배본동,2025-09-18
장애인용 승강기,방배베라루체,서울 서초구 방배동 901-8,방배1동,2025-09-18
장애인용 승강기,방배본동신나는어린이집,서울 서초구 방배동 789-18,방배본동,2025-09-18
장애인용 승강기,방배본동주민센터,서울 서초구 방배동 774-9,방배본동,2025-09-18
장애인용 승강기,방배브라운가아파트,서울 서초구 방배동 930-1,방배1동,2025-09-18
장애인용 승강기,방배빌라,서울 서초구 방배동 869-7,방배4동,2025-09-18
장애인용 승강기,방배빌리지1,서울 서초구 방배동 889-5,방배1동,2025-09-18
장애인용 승강기,방배빌리지2,서울 서초구 방배동 889-5,방배1동,2025-09-18
장애인용 승강기,방배빌리지4차,서울 서초구 방배동 593-73,방배3동,2025-09-18
장애인용 승강기,방배빌리지5차,서울 서초구 방배동 593-52,방배3동,2025-09-18
장애인용 승강기,방배상지리츠빌8차,서울 서초구 방배동 1-35,방배본동,2025-09-18
장애인용 승강기,방배서리풀e편한세상아파트,서울 서초구 방배동 906-13,방배1동,2025-09-18
장애인용 승강기,방배서리풀그랑블,서울 서초구 방배동 3279,방배1동,2025-09-18
장애인용 승강기,방배서리풀힐스,서울 서초구 방배동 915-16,방배1동,2025-09-18
장애인용 승강기,방배세양아르비채,서울 서초구 방배동 421-1,방배2동,2025-09-18
장애인용 승강기,방배센트럴빌딩,서울 서초구 방배동 909-6,방배1동,2025-09-18
장애인용 승강기,방배센트레빌,서울 서초구 방배동 777-12,방배본동,2025-09-18
장애인용 승강기,방배숲도서관,서울 서초구 방배동 126-1,방배1동,2025-09-18
장애인용 승강기,방배스카이,서울 서초구 방배동 755-7,방배본동,2025-09-18
장애인용 승강기,방배신동아럭스빌,서울 서초구 방배동 1026-14,방배3동,2025-09-18
장애인용 승강기,방배씨티아파트,서울 서초구 방배동 836-1,방배4동,2025-09-18
장애인용 승강기,방배아이파크빌,서울 서초구 방배동 763-19,방배본동,2025-09-18
장애인용 승강기,방배아크로리버,서울 서초구 방배동 752-36,방배본동,2025-09-18
장애인용 승강기,방배아크로타워,서울 서초구 방배동 923-6,방배1동,2025-09-18
장애인용 승강기,방배아크로타워아파트,서울 서초구 방배동 923-6,방배1동,2025-09-18
장애인용 승강기,방배아크빌A동,서울 서초구 방배동 848-1,방배4동,2025-09-18
장애인용 승강기,방배아크빌B동,서울 서초구 방배동 848-1,방배4동,2025-09-18
장애인용 승강기,방배아트e-편한세상,서울 서초구 방배동 484-2,방배3동,2025-09-18
장애인용 승강기,방배어반하우스,서울 서초구 방배동 857-14,방배4동,2025-09-18
장애인용 승강기,방배어울림아파트,서울 서초구 방배동 998,방배3동,2025-09-18
장애인용 승강기,방배어퍼하우스2차,서울 서초구 방배동 12-5,방배본동,2025-09-18
장애인용 승강기,방배열린문화센터,서울 서초구 방배동 852-14,방배4동,2025-09-18
장애인용 승강기,방배자이아파트,서울 서초구 방배동 888-53,방배1동,2025-09-18
장애인용 승강기,방배중학교,서울 서초구 반포동 586-1,반포4동,2025-09-18
장애인용 승강기,방배타운하우스,서울 서초구 방배동 790-26,방배본동,2025-09-18
장애인용 승강기,방배트리플아파트,서울 서초구 방배동 816-3,방배4동,2025-09-18
장애인용 승강기,방배팰리스빌라,서울 서초구 방배동 809-14,방배4동,2025-09-18
장애인용 승강기,방배하이빌10차,서울 서초구 방배동 807-22,방배4동,2025-09-18
장애인용 승강기,방배하이빌6차,서울 서초구 방배동 840-8,방배4동,2025-09-18
장애인용 승강기,방배하이빌9차,서울 서초구 방배동 807-1,방배4동,2025-09-18
장애인용 승강기,방배한신트리플아파트,서울 서초구 방배동 816-1,방배4동,2025-09-18
장애인용 승강기,방배한화아파트,서울 서초구 방배동 169-24,방배1동,2025-09-18
장애인용 승강기,방배헤스티아2,서울 서초구 방배동 467-24,방배2동,2025-09-18
장애인용 승강기,방배현대멤피스2차아파트,서울 서초구 방배동 982-1,방배3동,2025-09-18
장애인용 승강기,방배홈스텔,서울 서초구 방배동 1031-2,방배3동,2025-09-18
장애인용 승강기,방배홈타운,서울 서초구 방배동 1344,방배4동,2025-09-18
장애인용 승강기,백석대교육동,서울 서초구 방배동 981-10,방배3동,2025-09-18
장애인용 승강기,백석대학교 서울캠퍼스 조이하우스,서울 서초구 방배동 1023-1,방배3동,2025-09-18
장애인용 승강기,백석예술대학교사랑동,서울 서초구 방배동 981-23,방배3동,2025-09-18
장애인용 승강기,백석예술대학교예술동,서울 서초구 방배동 981-7,방배3동,2025-09-18
장애인용 승강기,백아빌딩,서울 서초구 서초동 1668-20,서초1동,2025-09-18
장애인용 승강기,벌떼교회,서울 서초구 우면동 681,양재1동,2025-09-18
장애인용 승강기,범아빌딩,서울 서초구 양재동 66-5,양재1동,2025-09-18
장애인용 승강기,베로니스3차,서울 서초구 방배동 807-11,방배4동,2025-09-18
장애인용 승강기,베로니스6차,서울 서초구 반포동 551-67,반포4동,2025-09-18
장애인용 승강기,베로니스9차,서울 서초구 방배동 750,방배본동,2025-09-18
장애인용 승강기,베로니스Ⅱ,서울 서초구 방배동 803-9,방배4동,2025-09-18
장애인용 승강기,베리타스빌딩,서울 서초구 서초동 1535-7,서초3동,2025-09-18
장애인용 승강기,베리타스타운,서울 서초구 반포동 20-51,반포1동,2025-09-18
장애인용 승강기,벨라헤이븐,서울 서초구 반포동 703-12,반포1동,2025-09-18
장애인용 승강기,벨루체팰리스,서울 서초구 방배동 808-10,방배4동,2025-09-18
장애인용 승강기,보미리전빌아파트,서울 서초구 잠원동 32-22,잠원동,2025-09-18
장애인용 승강기,보아스방배아파트,서울 서초구 방배동 831-6,방배4동,2025-09-18
장애인용 승강기,보아스힐아파트,서울 서초구 반포동 701-4,반포1동,2025-09-18
장애인용 승강기,보일빌딩,서울 서초구 서초동 1359-35,서초2동,2025-09-18
장애인용 승강기,부띠크모나코,서울 서초구 서초동 1316-5,서초4동,2025-09-18
장애인용 승강기,불교텔레비젼(주),서울 서초구 방배동 1027-4,방배3동,2025-09-18
장애인용 승강기,브니엘빌딩,서울 서초구 서초동 1362-9,서초2동,2025-09-18
장애인용 승강기,브라운스톤로얄스위트서초,서울 서초구 서초동 1492-4,서초3동,2025-09-18
장애인용 승강기,브라운스톤방배APT,서울 서초구 방배동 899-16,방배1동,2025-09-18
장애인용 승강기,브라운스톤잠원아파트,서울 서초구 잠원동 67-2,반포3동,2025-09-18
장애인용 승강기,브라운스톤효령APT,서울 서초구 방배동 981-40,방배3동,2025-09-18
장애인용 승강기,브랜드칸타워,서울 서초구 반포동 722-20,반포1동,2025-09-18
장애인용 승강기,블루원빌딩,서울 서초구 서초동 1699-16,서초4동,2025-09-18
장애인용 승강기,블루콤타워,서울 서초구 서초동 1572-4,서초3동,2025-09-18
장애인용 승강기,블루힐65,서울 서초구 서초동 1553-15,서초3동,2025-09-18
장애인용 승강기,블루힐하우스,서울 서초구 잠원동 71-1,반포3동,2025-09-18
장애인용 승강기,비버리하임,서울 서초구 양재동 5-12,양재1동,2025-09-18
장애인용 승강기,비선빌딩,서울 서초구 서초동 1489-2,서초3동,2025-09-18
장애인용 승강기,비씨카드퓨쳐센터,서울 서초구 서초동 1427-1,서초1동,2025-09-18
장애인용 승강기,비엥에뜨르,서울 서초구 반포동 86-5,반포4동,2025-09-18
장애인용 승강기,비전힐아파트,서울 서초구 방배동 980-25,방배2동,2025-09-18
장애인용 승강기,뻬에뻬빌딩,서울 서초구 서초동 1580-9,서초3동,2025-09-18
장애인용 승강기,사랑의교회,서울 서초구 서초동 1541-1,서초3동,2025-09-18
장애인용 승강기,사랑의복지관,서울 서초구 서초동 1310-10,서초4동,2025-09-18
장애인용 승강기,산동빌딩,서울 서초구 서초동 1363-6,서초2동,2025-09-18
장애인용 승강기,산정현교회,서울 서초구 서초동 1494-3,서초3동,2025-09-18
장애인용 승강기,산지빌딩,서울 서초구 서초동 1429-2,서초1동,2025-09-18
장애인용 승강기,삼삼칠빌딩,서울 서초구 서초동 1329-10,서초2동,2025-09-18
장애인용 승강기,삼성디지털프라자교대역점,서울 서초구 서초동 1672-6,서초1동,2025-09-18
장애인용 승강기,삼성디지털프라자방배점,서울 서초구 방배동 905-1,방배1동,2025-09-18
장애인용 승강기,삼성베스트빌,서울 서초구 양재동 362,양재2동,2025-09-18
장애인용 승강기,삼성생명서초타워,서울 서초구 서초동 1321-15,서초2동,2025-09-18
장애인용 승강기,삼성서초가든스위트,서울 서초구 서초동 1326,서초2동,2025-09-18
장애인용 승강기,삼성에이스빌,서울 서초구 반포동 726-16,반포1동,2025-09-18
장애인용 승강기,삼성전자서초사옥,서울 서초구 서초동 1320-10,서초2동,2025-09-18
장애인용 승강기,삼성홈스테이 2차,서울 서초구 서초동 1522-2,서초3동,2025-09-18
장애인용 승강기,삼성화재 서초사옥,서울 서초구 서초동 1329,서초2동,2025-09-18
장애인용 승강기,삼익EOE,서울 서초구 양재동 252,양재2동,2025-09-18
장애인용 승강기,삼호한숲아파트,서울 서초구 방배동 1030-1,방배3동,2025-09-18
장애인용 승강기,삼화에코빌(방배로),서울 서초구 방배동 905-29,방배1동,2025-09-18
장애인용 승강기,삼흥서초빌딩,서울 서초구 서초동 1451-79,서초3동,2025-09-18
장애인용 승강기,상기빌딩,서울 서초구 서초동 1490-33,서초3동,2025-09-18
장애인용 승강기,상록빌딩,서울 서초구 서초동 1629-3,서초1동,2025-09-18
장애인용 승강기,상문고등학교,서울 서초구 방배동 1000-1,서초3동,2025-09-18
장애인용 승강기,상지리츠빌1차,서울 서초구 방배동 1-29,방배본동,2025-09-18
장애인용 승강기,상지리츠빌서초8차,서울 서초구 방배동 1-35,방배본동,2025-09-18
장애인용 승강기,새로나빌딩,서울 서초구 반포동 746-8,반포1동,2025-09-18
장애인용 승강기,새티스아파트,서울 서초구 반포동 612-138,반포4동,2025-09-18
장애인용 승강기,샹보르아파트,서울 서초구 서초동 1609-1,서초1동,2025-09-18
장애인용 승강기,서도휴빌(방배),서울 서초구 방배동 792-17,방배본동,2025-09-18
장애인용 승강기,서래더하임,서울 서초구 반포동 76-4,반포4동,2025-09-18
장애인용 승강기,서래스테이,서울 서초구 반포동 96-9,반포4동,2025-09-18
장애인용 승강기,서래아르드빌,서울 서초구 반포동 88-4,반포4동,2025-09-18
장애인용 승강기,서리풀그림,서울 서초구 서초동 1498-4,서초3동,2025-09-18
장애인용 승강기,서리풀래디앙,서울 서초구 서초동 1582-16,서초3동,2025-09-18
장애인용 승강기,서리풀베아체,서울 서초구 방배동 922-15,방배1동,2025-09-18
장애인용 승강기,서리풀어반스테이,서울 서초구 방배동 808-13,방배4동,2025-09-18
장애인용 승강기,서리풀월드메르디앙레브,서울 서초구 서초동 1490-5,서초3동,2025-09-18
장애인용 승강기,서리풀크렘,서울 서초구 서초동 1508-20,서초3동,2025-09-18
장애인용 승강기,서리풀포레,서울 서초구 서초동 1506-60,서초3동,2025-09-18
장애인용 승강기,서리풀프라젠아파트,서울 서초구 방배동 3281,방배4동,2025-09-18
장애인용 승강기,서린아파트,서울 서초구 서초동 1456-1,서초3동,2025-09-18
장애인용 승강기,서문여자고등학교,서울 서초구 방배동 1514,방배4동,2025-09-18
장애인용 승강기,서송빌딩,서울 서초구 서초동 1514-1,서초3동,2025-09-18
장애인용 승강기,서운중학교,서울 서초구 서초동 1325-1,서초2동,2025-09-18
장애인용 승강기,서울 탑 치과병원,서울 서초구 서초동 1586-4,서초3동,2025-09-18
장애인용 승강기,서울가정행정법원청사,서울 서초구 양재동 25-3,양재1동,2025-09-18
장애인용 승강기,서울경찰청경찰특공대,서울 서초구 방배동 산 184,방배2동,2025-09-18
장애인용 승강기,서울계성초등학교,서울 서초구 반포동 6-1,반포2동,2025-09-18
장애인용 승강기,서울고등학교,서울 서초구 서초동 1526-1,서초3동,2025-09-18
장애인용 승강기,서울고속버스터미널(주),서울 서초구 반포동 19-4,반포4동,2025-09-18
장애인용 승강기,서울교육대학교,서울 서초구 서초동 1650,서초1동,2025-09-18
장애인용 승강기,서울교육대학교 평생교육1관,서울 서초구 서초동 1650,서초1동,2025-09-18
장애인용 승강기,서울교통공사 2호선서초역,서울 서초구 반포동 19-4,반포4동,2025-09-18
장애인용 승강기,서울교통공사 사당별관,서울 서초구 방배동 447-7,방배2동,2025-09-18
장애인용 승강기,서울국제크리스천아카데미,서울 서초구 양재동 363,양재2동,2025-09-18
장애인용 승강기,서울나래학교,서울 서초구 염곡동 72,내곡동,2025-09-18
장애인용 승강기,서울반원초등학교,서울 서초구 잠원동 72,반포3동,2025-09-18
장애인용 승강기,서울방배초등학교,서울 서초구 방배동 861-1,방배4동,2025-09-18
장애인용 승강기,서울방일초등학교,서울 서초구 방배동 167-4,방배1동,2025-09-18
장애인용 승강기,서울방현초등학교,서울 서초구 방배동 산 81-1,방배3동,2025-09-18
장애인용 승강기,서울법원종합청사,서울 서초구 서초동 1701-1,서초3동,2025-09-18
장애인용 승강기,서울서래초등학교,서울 서초구 방배동 771,방배본동,2025-09-18
장애인용 승강기,서울서원초등학교,서울 서초구 반포동 30-8,반포1동,2025-09-18
장애인용 승강기,서울서이초등학교,서울 서초구 서초동 1334-2,서초2동,2025-09-18
장애인용 승강기,서울서초초등학교,서울 서초구 서초동 1310-6,서초4동,2025-09-18
장애인용 승강기,서울성모병원,서울 서초구 반포동 505,반포4동,2025-09-18
장애인용 승강기,서울시데이터센터,서울 서초구 서초동 393-1,서초1동,2025-09-18
장애인용 승강기,서울시인재개발원,서울 서초구 서초동 391,서초1동,2025-09-18
장애인용 승강기,서울신동초등학교,서울 서초구 잠원동 54-5,잠원동,2025-09-18
장애인용 승강기,서울신중초등학교,서울 서초구 서초동 1466-5,서초3동,2025-09-18
장애인용 승강기,서울양재초등학교,서울 서초구 양재동 101,양재1동,2025-09-18
장애인용 승강기,서울어진유치원,서울 서초구 우면동 731,양재1동,2025-09-18
장애인용 승강기,서울연구원,서울 서초구 서초동 391,서초1동,2025-09-18
장애인용 승강기,서울영동농협,서울 서초구 양재동 372,양재2동,2025-09-18
장애인용 승강기,서울영동농협종합시설,서울 서초구 신원동 270-10,내곡동,2025-09-18
장애인용 승강기,서울오토갤러리,서울 서초구 양재동 217,양재2동,2025-09-18
장애인용 승강기,서울외국어대학원,서울 서초구 양재동 17-7,양재1동,2025-09-18
장애인용 승강기,서울우면초등학교,서울 서초구 우면동 690,양재1동,2025-09-18
장애인용 승강기,서울우암초등학교,서울 서초구 우면동 58,양재1동,2025-09-18
장애인용 승강기,서울원명초등학교,서울 서초구 서초동 1685-1,서초4동,2025-09-18
장애인용 승강기,서울원촌초등학교,서울 서초구 반포동 21,반포1동,2025-09-18
장애인용 승강기,서울중앙지방검찰청,서울 서초구 서초동 1724,서초3동,2025-09-18
장애인용 승강기,서울중앙지방법원등기국,서울 서초구 서초동 1707-4,서초3동,2025-09-18
